"n","metodo","vicio_a","vicio_b","vicio_alpha","rmse_a","rmse_b","rmse_alpha"
100,"Duas etapas",0.0530847596730622,-0.0118375915711547,0.0186706574080005,0.185646603606144,0.167646584087671,0.0804500644129043
100,"Conjunto",0.156589010820042,-0.0134531350607321,0.0885471288550555,0.248602554953069,0.193272609436038,0.12600266677896
250,"Duas etapas",0.0411361398725182,-0.0421992785148319,0.0215540981308151,0.116246669057377,0.1126455821036,0.0547170574106596
250,"Conjunto",0.0793082243979994,-0.0425872000760458,0.0476821004209725,0.137505396304004,0.121872249151168,0.071898901244897
500,"Duas etapas",-0.0189037812346575,0.0103759455011548,-0.0159310184439364,0.0775978154051295,0.0796779525266499,0.038735941223843
500,"Conjunto",-0.00118244751877923,0.010019058831999,-0.00373499315689556,0.0762991441285919,0.0762186856725204,0.0357689468544254
1000,"Duas etapas",0.0071250382222281,0.0318049097120459,0.00187480353268346,0.124341566721944,0.0621224557246248,0.0261097015836973
1000,"Conjunto",0.0173394057470388,0.0314231489158028,0.00813252200284029,0.160480085460119,0.0625542727609234,0.0278348366002706
