"n","method","bias","rmse","mean","standard_deviation","minimum","maximum","range"
100,"Two-stage",-0.0129877051527364,0.200167911018348,1.16665878346911e-17,0.994992412081118,-2.57556257632909,2.57322351497161,5.1487860913007
100,"Joint",-0.012804505128766,0.211409073356503,0.000183200023970401,0.918236419678455,-2.36686204393274,2.34728290900288,4.71414495293562
250,"Two-stage",-0.0409781729372741,0.203031083478784,-9.59500491212739e-19,0.997999991991952,-2.73963404278894,3.52035866700533,6.25999270979427
250,"Joint",-0.0410382288585001,0.205112961074583,-6.00559212260723e-05,0.956604553674438,-2.66207749066119,3.39026134721014,6.05233883787133
500,"Two-stage",0.00530544973030666,0.201767921573175,3.52535307803631e-18,0.999000498500372,-3.2998420925807,3.51582748746727,6.81566958004797
500,"Joint",0.00548280075669683,0.197152310089238,0.000177351026390177,0.967623502558858,-3.1815096870267,3.44053383696327,6.62204352398997
1000,"Two-stage",0.0311680312107549,0.20171564261547,-8.45252605971916e-19,0.999500374687773,-3.35440743652946,4.16966309083066,7.52407052736012
1000,"Joint",0.0311900240015386,0.199358418358975,2.19927907836917e-05,0.974328801728308,-3.26810046734972,4.05451479762305,7.32261526497277
